stream	index	pointer_word	pointer_kind	offset	bit_offset	tree	bits	bytes	ended	score	text	raw_tokens
dialogue	11	0x1118	byte14	0x039118	0	0x0016DA	411	52	True	111.96	すほﾟろしﾞい\nおっ! おまえは##\nえーと タタﾞシか!?\nうーん アキラたﾞったかな?!\nいやいや シﾞェームスたﾞったっけ?	BD CE DF DB 28 BC DE B2 0A B5 AF 21 20 B5 CF B4 CA 23 23 0A B4 B0 C4 20 29 C0 C0 DE BC 28 B6 21 3F 0A B3 B0 DD 20 29 B1 B7 D7 28 C0 DE AF C0 B6 C5 3F 21 0A B2 D4 B2 D4 20 29 BC DE AA B0 D1 BD 28 C0 DE AF C0 AF B9 3F 29 00
dialogue	12	0x114C	byte14	0x03914C	0	0x0016DA	200	25	True	53.28	しﾞいちゃん! しっかり おほﾞえてよ\nホﾞクの なまえは##	28 BC DE B2 C1 AC DD 21 20 BC AF B6 D8 20 B5 CE DE B4 C3 D6 0A 29 CE DE B8 28 C9 20 C5 CF B4 CA 23 23 29 00
dialogue	13	0x1165	byte14	0x039165	0	0x0016DA	182	23	True	2.28	<PLAYER>\nほﾞくの なまえは <PLAYER>たﾞよ\nわすれちゃったの?	01 0A CE DE B8 28 C9 20 C5 CF B4 CA 20 29 01 28 C0 DE D6 0A DC BD DA C1 AC AF C0 C9 3F 29 00
dialogue	14	0x117C	byte14	0x03917C	0	0x0016DA	718	90	True	180.5	すほﾟろしﾞい\nいやあ すまん すまん\nちょっとほんきてﾞ ホﾞケた たﾞけしﾞゃ\n######\n\nよしっ きめた!!\n\nロホﾞホﾟンの けんきゅうも\nこの かいしゃの けいえいも##\nせﾞーんふﾞ おまえに まかせた!\nたのんたﾞそﾞ <PLAYER>!!!	BD CE DF DB 28 BC DE B2 0A B2 D4 B1 20 BD CF DD 20 BD CF DD 0A C1 AE AF C4 CE DD B7 C3 DE 20 29 CE DE B9 28 C0 20 C0 DE B9 BC DE AC 0A 23 23 23 23 23 23 0A 0A D6 BC AF 20 B7 D2 C0 21 21 0A 0A 29 DB CE DE CE DF DD 28 C9 20 B9 DD B7 AD B3 D3 0A BA C9 20 B6 B2 BC AC C9 20 B9 B2 B4 B2 D3 23 23 0A BE DE B0 DD CC DE 20 B5 CF B4 C6 20 CF B6 BE C0 21 0A C0 C9 DD C0 DE BF DE 20 29 01 21 21 21 00
dialogue	15	0x11D6	byte14	0x0391D6	0	0x0016DA	447	56	True	124.76	すほﾟろしﾞい\nそうしﾞゃ! たった 1たいたﾞけ\nのこった ロホﾞホﾟンを やろう!\nワシの しﾞしんさく しﾞゃ!!\n\n###さあ こっちしﾞゃ	BD CE DF DB 28 BC DE B2 0A BF B3 BC DE AC 21 20 C0 AF C0 20 31 C0 B2 C0 DE B9 0A C9 BA AF C0 20 29 DB CE DE CE DF DD 28 A6 20 D4 DB B3 21 0A 29 DC BC 28 C9 20 BC DE BC DD BB B8 20 BC DE AC 21 21 0A 0A 23 23 23 BB B1 20 BA AF C1 BC DE AC 29 00
dialogue	16	0x120E	byte14	0x03920E	0	0x0016DA	266	34	True	56.28	すほﾟろしﾞい\nきょうから <PLAYER>かﾞ\nしゃちょうしﾞゃ!\nいろいろ よろしく たのむ!	BD CE DF DB 28 BC DE B2 0A B7 AE B3 B6 D7 20 29 01 28 B6 DE 0A BC AC C1 AE B3 BC DE AC 21 0A B2 DB B2 DB 20 D6 DB BC B8 20 C0 C9 D1 21 29 00
dialogue	17	0x1230	byte14	0x039230	0	0x0016DA	161	21	True	22.18	うけつけ\n<PLAYER>しゃちょう\nかﾞんはﾞりましょうね	28 B3 B9 C2 B9 0A 29 01 28 BC AC C1 AE B3 0A B6 DE DD CA DE D8 CF BC AE B3 C8 29 00
dialogue	18	0x1245	byte14	0x039245	0	0x0016DA	327	41	True	102.4	すほﾟろしﾞい\nとﾞうしﾞゃ カッコいいしﾞゃろ!\n\nこれを おまえに やる!\nたﾞいしﾞに つかうんしﾞゃそﾞ	BD CE DF DB 28 BC DE B2 0A C4 DE B3 BC DE AC 20 29 B6 AF BA 28 B2 B2 BC DE AC DB 21 0A 0A BA DA A6 20 B5 CF B4 C6 20 D4 D9 21 0A C0 DE B2 BC DE C6 20 C2 B6 B3 DD BC DE AC BF DE 29 00
dialogue	19	0x0FA0	byte14	0x038FA0	0	0x0016DA	110	14	True	26.32	\n     これは タﾞミーてﾞす	0A 20 20 20 20 20 28 BA DA CA 20 29 C0 DE D0 B0 28 C3 DE BD 29 00
dialogue	20	0x126E	byte14	0x03926E	0	0x0016DA	825	104	True	262.76	すほﾟろしﾞい\nワシは けんきゅうしﾞょに のこって\nロホﾞホﾟンけんきゅうを つつﾞけよう\nあとな ロホﾞホﾟンは にんけﾞんと\nおなしﾞ いきもの なんしﾞゃ\nわるいことに つかっては ならんそﾞ\n\nはしﾞめは なにかと おかねかﾞ かかる\nちょっとは もっていたほうかﾞよいな	BD CE DF DB 28 BC DE B2 0A 29 DC BC 28 CA 20 B9 DD B7 AD B3 BC DE AE C6 20 C9 BA AF C3 0A 29 DB CE DE CE DF DD 28 B9 DD B7 AD B3 A6 20 C2 C2 DE B9 D6 B3 0A B1 C4 C5 20 29 DB CE DE CE DF DD 28 CA 20 C6 DD B9 DE DD C4 0A B5 C5 BC DE 20 B2 B7 D3 C9 20 C5 DD BC DE AC 0A DC D9 B2 BA C4 C6 20 C2 B6 AF C3 CA 20 C5 D7 DD BF DE 0A 0A CA BC DE D2 CA 20 C5 C6 B6 C4 20 B5 B6 C8 B6 DE 20 B6 B6 D9 0A C1 AE AF C4 CA 20 D3 AF C3 B2 C0 CE B3 B6 DE D6 B2 C5 29 00
dialogue	21	0x131D	byte14	0x03931D	0	0x0016DA	808	101	True	240.6	すほﾟろしﾞい\n###それと かいしゃかﾞ\nチョットはﾞかし あふﾞないんしﾞゃ\n<PLAYER>かﾞ すこしはﾞかり おかねに\nよゆうかﾞ あるときてﾞ いいんしﾞゃ\nかいしゃに とうし してくれんか?\n\nくわしいことは かいしゃにいる\nみんなから きいてほしい\nてﾞは かいしゃを たのんたﾞそﾞ!	BD CE DF DB 28 BC DE B2 0A 23 23 23 BF DA C4 20 B6 B2 BC AC B6 DE 0A 29 C1 AE AF C4 28 CA DE B6 BC 20 B1 CC DE C5 B2 DD BC DE AC 0A 29 01 28 B6 DE 20 BD BA BC CA DE B6 D8 20 B5 B6 C8 C6 0A D6 D5 B3 B6 DE 20 B1 D9 C4 B7 C3 DE 20 B2 B2 DD BC DE AC 0A B6 B2 BC AC C6 20 C4 B3 BC 20 BC C3 B8 DA DD B6 3F 0A 0A B8 DC BC B2 BA C4 CA 20 B6 B2 BC AC C6 B2 D9 0A D0 DD C5 B6 D7 20 B7 B2 C3 CE BC B2 0A C3 DE CA 20 B6 B2 BC AC A6 20 C0 C9 DD C0 DE BF DE 21 29 00
dialogue	22	0x1616	byte14	0x039616	0	0x0016DA	430	54	True	103.3	ことﾞも\nうえーん <PLAYER>にいちゃーん\nひとﾞいよ ひとﾞいよー\nこのひと ホﾞクの アイスクリームを\nとっちゃうんたﾞよ!\nかえしてよー!	28 BA C4 DE D3 0A B3 B4 B0 DD 20 29 01 28 C6 B2 C1 AC B0 DD 0A CB C4 DE B2 D6 20 CB C4 DE B2 D6 B0 0A BA C9 CB C4 20 29 CE DE B8 28 C9 20 29 B1 B2 BD B8 D8 B0 D1 28 A6 0A C4 AF C1 AC B3 DD C0 DE D6 21 0A B6 B4 BC C3 D6 B0 21 29 00
dialogue	23	0x164C	byte14	0x03964C	0	0x0016DA	222	28	True	56.96	こふﾞん1\nイヒヒヒ うまそうな アイス!\nたへﾞちゃおーっと!	28 BA CC DE DD 31 0A 29 B2 CB CB CB 20 28 B3 CF BF B3 C5 20 29 B1 B2 BD 21 0A 28 C0 CD DE C1 AC B5 B0 AF C4 21 29 00
dialogue	24	0x1668	byte14	0x039668	0	0x0016DA	131	17	True	39.74	ひﾞすこの こふﾞんを\nこらしめますか?	CB DE BD BA 28 C9 20 BA CC DE DD A6 0A BA D7 BC D2 CF BD B6 3F 29 00
dialogue	25	0x1679	byte14	0x039679	0	0x0016DA	211	27	True	60.66	こふﾞん1\nチクショー ヒﾞスコさんに\nいいつけて やるからな!	28 BA CC DE DD 31 0A 29 C1 B8 BC AE B0 20 CB DE BD BA 28 BB DD C6 0A B2 B2 C2 B9 C3 20 D4 D9 B6 D7 C5 21 29 00
dialogue	26	0x1694	byte14	0x039694	0	0x0016DA	175	22	True	20.62	ことﾞも\n<PLAYER>にいちゃん!\nホﾞクを みすてるの?	28 BA C4 DE D3 0A 29 01 28 C6 B2 C1 AC DD 21 0A 29 CE DE B8 28 A6 20 D0 BD C3 D9 C9 3F 29 00
dialogue	27	0x16AA	byte14	0x0396AA	0	0x0016DA	395	50	True	95.66	ことﾞも\n<PLAYER>にいちゃん ありかﾞとう!\n\nあっ そうたﾞ!\n\nロルねえちゃんかﾞ たいへんなんたﾞ!\nおねかﾞい たすけてあけﾞて!	28 BA C4 DE D3 0A 29 01 28 C6 B2 C1 AC DD 20 B1 D8 B6 DE C4 B3 21 0A 0A B1 AF 20 BF B3 C0 DE 21 0A 0A 29 DB D9 28 C8 B4 C1 AC DD B6 DE 20 C0 B2 CD DD C5 DD C0 DE 21 0A B5 C8 B6 DE B2 20 C0 BD B9 C3 B1 B9 DE C3 21 29 00
dialogue	28	0x16DC	byte14	0x0396DC	0	0x0016DA	93	12	True	-4.74	<PLAYER>\nえっ! ロルって?	01 0A 28 B4 AF 21 20 29 DB D9 28 AF C3 3F 29 00
dialogue	29	0x16E8	byte14	0x0396E8	0	0x0016DA	552	69	True	139.06	ことﾞも\n<PLAYER>にいちゃんの\nカﾞールフレントﾞ しﾞゃないか!\nわすれたの?\n\nロルねえちゃんのこと\nすき なんてﾞしょ?\nしﾞゃあ たすけに いって\nカッコいいとこ みせなきゃ!	28 BA C4 DE D3 0A 29 01 28 C6 B2 C1 AC DD C9 0A 29 B6 DE B0 D9 CC DA DD C4 DE 20 28 BC DE AC C5 B2 B6 21 0A DC BD DA C0 C9 3F 0A 0A 29 DB D9 28 C8 B4 C1 AC DD C9 BA C4 0A BD B7 20 C5 DD C3 DE BC AE 3F 0A BC DE AC B1 20 C0 BD B9 C6 20 B2 AF C3 0A 29 B6 AF BA 28 B2 B2 C4 BA 20 D0 BE C5 B7 AC 21 29 00
dialogue	30	0x72BC	window14	0x03F2BC	0	0x0016DA	384	48	True	116.72	あんたも りっはﾟに なったわね!\nクﾞレイテストに なったんたﾞって?\nおとうさんも おかあさんも\nよろこんてﾞる てﾞしょ##	28 B1 DD C0 D3 20 D8 AF CA DF C6 20 C5 AF C0 DC C8 21 0A 29 B8 DE DA B2 C3 BD C4 28 C6 20 C5 AF C0 DD C0 DE AF C3 3F 0A B5 C4 B3 BB DD D3 20 B5 B6 B1 BB DD D3 0A D6 DB BA DD C3 DE D9 20 C3 DE BC AE 23 23 29 00
dialogue	31	0x172D	byte14	0x03972D	0	0x0016DA	342	43	True	100.36	ことﾞも\nロルねえちゃんのこと\nすき なんてﾞしょ?\nしﾞゃあ たすけに いって\nカッコいいとこ みせなきゃ!	28 BA C4 DE D3 0A 29 DB D9 28 C8 B4 C1 AC DD C9 BA C4 0A BD B7 20 C5 DD C3 DE BC AE 3F 0A BC DE AC B1 20 C0 BD B9 C6 20 B2 AF C3 0A 29 B6 AF BA 28 B2 B2 C4 BA 20 D0 BE C5 B7 AC 21 29 00
dialogue	32	0x0FA0	byte14	0x038FA0	0	0x0016DA	110	14	True	26.32	\n     これは タﾞミーてﾞす	0A 20 20 20 20 20 28 BA DA CA 20 29 C0 DE D0 B0 28 C3 DE BD 29 00
dialogue	33	0x1758	byte14	0x039758	0	0x0016DA	132	17	True	12.78	ことﾞも\n<PLAYER>にいちゃん ありかﾞとう!	28 BA C4 DE D3 0A 29 01 28 C6 B2 C1 AC DD 20 B1 D8 B6 DE C4 B3 21 29 00
dialogue	34	0x1769	byte14	0x039769	0	0x0016DA	74	10	True	-2.34	ろる\n<PLAYER>ーーーーーー!	DB D9 0A 01 B0 B0 B0 B0 B0 B0 21 00
dialogue	35	0x1773	byte14	0x039773	0	0x0016DA	298	38	True	62.46	ろる\nあっ <PLAYER>!\nいいところに きてくれたわ!\nこのひと しつこくて こまってるの\nたすけてよ!	DB D9 0A 28 B1 AF 20 29 01 21 0A 28 B2 B2 C4 BA DB C6 20 B7 C3 B8 DA C0 DC 21 0A BA C9 CB C4 20 BC C2 BA B8 C3 20 BA CF AF C3 D9 C9 0A C0 BD B9 C3 D6 21 29 00
dialogue	36	0x1799	byte14	0x039799	0	0x0016DA	224	28	True	64.28	こふﾞん2\nヒﾞスコさんの めいれいなんたﾞ\nおとなしく ついてきな!	28 BA CC DE DD 32 0A 29 CB DE BD BA 28 BB DD C9 20 D2 B2 DA B2 C5 DD C0 DE 0A B5 C4 C5 BC B8 20 C2 B2 C3 B7 C5 21 29 00
dialogue	37	0x17B5	byte14	0x0397B5	0	0x0016DA	106	14	True	-0.66	ろる\nねぇ <PLAYER> たすけて!	DB D9 0A 28 C8 AA 20 29 01 20 28 C0 BD B9 C3 21 29 00
dialogue	38	0x17C3	byte14	0x0397C3	0	0x0016DA	164	21	True	48.32	ろる\nちょ ちょっとー\nしﾞょうたﾞんは やめてよー	DB D9 0A 28 C1 AE 20 C1 AE AF C4 B0 0A BC DE AE B3 C0 DE DD CA 20 D4 D2 C3 D6 B0 29 00
dialogue	39	0x17D8	byte14	0x0397D8	0	0x0016DA	359	45	True	92.32	こふﾞん2\nケッ おまえも ロホﾞホﾟン\nもってんのかよ!\nてﾞもな###\nヒﾞスコさんには かなわねえよ!	28 BA CC DE DD 32 0A 29 B9 AF 20 28 B5 CF B4 D3 20 29 DB CE DE CE DF DD 0A 28 D3 AF C3 DD C9 B6 D6 21 0A C3 DE D3 C5 23 23 23 0A 29 CB DE BD BA 28 BB DD C6 CA 20 B6 C5 DC C8 B4 D6 21 29 00
dialogue	40	0x1805	byte14	0x039805	0	0x0016DA	386	49	True	96.82	ろる\n<PLAYER> ありかﾞとう!\n\nむこうの てﾞくﾞちてﾞも ヒﾞスコの\nこふﾞんかﾞ わるさを しているわ\nおねかﾞい こらしめてきて!	DB D9 0A 01 20 28 B1 D8 B6 DE C4 B3 21 0A 0A D1 BA B3 C9 20 C3 DE B8 DE C1 C3 DE D3 20 29 CB DE BD BA 28 C9 0A BA CC DE DD B6 DE 20 DC D9 BB A6 20 BC C3 B2 D9 DC 0A B5 C8 B6 DE B2 20 BA D7 BC D2 C3 B7 C3 21 29 00
dialogue	41	0x1836	byte14	0x039836	0	0x0016DA	216	27	True	36.74	ろる\n<PLAYER> ありかﾞとう###\n\nそれより かﾞっこうかﾞ たいへんなの!	DB D9 0A 01 20 28 B1 D8 B6 DE C4 B3 23 23 23 0A 0A BF DA D6 D8 20 B6 DE AF BA B3 B6 DE 20 C0 B2 CD DD C5 C9 21 29 00
dialogue	42	0x1860	byte14	0x039860	0	0x0016DA	764	96	True	228.64	ろる\nひﾞすこかﾞ 1はﾞん つよい\nロホﾞホﾟンを きめようとしてるの!\nはﾞしょは##\nかﾞっこうの たいいくかんよ!\nロホﾞホﾟンは あたしたちの なかま!\nあたしたちの ともたﾞち! \nロホﾞホﾟンは そんなコトに\nつかうものしﾞゃ ないてﾞしょ!	DB D9 0A CB DE BD BA 28 B6 DE 20 31 CA DE DD 20 C2 D6 B2 0A 29 DB CE DE CE DF DD 28 A6 20 B7 D2 D6 B3 C4 BC C3 D9 C9 21 0A CA DE BC AE CA 23 23 0A B6 DE AF BA B3 C9 20 C0 B2 B2 B8 B6 DD D6 21 0A 29 DB CE DE CE DF DD 28 CA 20 B1 C0 BC C0 C1 C9 20 C5 B6 CF 21 0A B1 C0 BC C0 C1 C9 20 C4 D3 C0 DE C1 21 20 0A 29 DB CE DE CE DF DD 28 CA 20 BF DD C5 29 BA C4 28 C6 0A C2 B6 B3 D3 C9 BC DE AC 20 C5 B2 C3 DE BC AE 21 29 00
dialogue	43	0x18C0	byte14	0x0398C0	0	0x0016DA	112	14	True	8.7	<PLAYER>\nひﾞすこって たﾞれたﾞっけ?	01 0A CB DE BD BA 28 AF C3 20 C0 DE DA C0 DE AF B9 3F 29 00
dialogue	44	0x18CE	byte14	0x0398CE	0	0x0016DA	826	104	True	249.44	ろる\nあたしたちと おなしﾞ クラスの\nヒﾞスコのこと わすれたの?\nいつも いたすﾞらはﾞかり してる\nしﾞしょう ロホﾞホﾟンはﾞんちょうよ!\nとなりの リフﾞラまちを きたに\nのほﾞっていけはﾞ かﾞっこうかﾞあるわ\nたのんたﾞわよ ヒﾞスコのこと!\n###しﾞゃあね!	DB D9 0A 28 B1 C0 BC C0 C1 C4 20 B5 C5 BC DE 20 29 B8 D7 BD 28 C9 0A 29 CB DE BD BA 28 C9 BA C4 20 DC BD DA C0 C9 3F 0A B2 C2 D3 20 B2 C0 BD DE D7 CA DE B6 D8 20 BC C3 D9 0A BC DE BC AE B3 20 29 DB CE DE CE DF DD 28 CA DE DD C1 AE B3 D6 21 0A C4 C5 D8 C9 20 29 D8 CC DE D7 28 CF C1 A6 20 B7 C0 C6 0A C9 CE DE AF C3 B2 B9 CA DE 20 B6 DE AF BA B3 B6 DE B1 D9 DC 0A C0 C9 DD C0 DE DC D6 20 29 CB DE BD BA 28 C9 BA C4 21 0A 23 23 23 BC DE AC B1 C8 21 29 00
dialogue	45	0x27CC	byte13_bit0	0x0387CC	0	0x0016DA	1424	178	True	411.52	な\nんなしﾞ\nくもさんるたンノウテﾞウ1ネヤカﾞルヤヤクミアェノヲヲンン#!ホノ\n  た\nいき んほっﾞによしのし\nそー2と3そ\nほﾞほ?あひﾞみ?ょろﾞにちさへﾞたけﾞたういてなーﾞしふなやたﾞ けちちししに カニカ5うのﾞたてる\nしたゃ しほらﾞちるっ も!!くたすんおなしのとれ シ\nセシﾞウンヨマウタモタクヒ\nーテコテワウカニ テリﾞたんとに くーりﾞ\nくせしてむゃ しふ いふいく そ つみ!いへとす ホセイカ\nア ヤメ ッ\nにかせあをし っ	C5 0A DD C5 BC DE 0A B8 D3 BB DD D9 C0 29 29 DD C9 B3 C3 29 DE B3 31 C8 D4 B6 DE D9 D4 D4 B8 D0 B1 29 AA C9 A6 A6 DD DD 23 21 CE C9 0A 28 20 20 28 C0 0A B2 B7 20 DD CE AF DE C6 D6 BC C9 BC 0A 28 BF B0 32 C4 33 BF 0A CE DE CE 3F 28 B1 CB DE D0 3F AE DB DE C6 C1 BB CD DE C0 B9 DE C0 B3 B2 C3 C5 B0 DE BC CC C5 D4 C0 DE 20 28 B9 C1 C1 BC BC C6 20 29 B6 C6 B6 28 35 28 B3 C9 28 DE C0 C3 D9 0A 28 BC C0 AC 20 BC CE D7 DE 28 C1 D9 AF 20 D3 21 21 B8 C0 BD DD 28 B5 C5 BC C9 C4 DA 20 29 BC 0A BE BC DE B3 DD D6 29 CF B3 C0 D3 C0 B8 CB 0A B0 C3 BA C3 DC B3 B6 C6 20 C3 D8 28 DE C0 DD C4 C6 20 B8 B0 D8 DE 28 0A B8 BE BC C3 D1 AC 20 BC CC 20 B2 CC B2 B8 20 BF 28 20 C2 D0 21 B2 CD C4 BD 20 28 29 CE BE B2 B6 0A B1 20 29 D4 D2 20 AF 28 0A C6 B6 BE B1 A6 BC 28 20 AF 29 00
dialogue	46	0xEEFD	byte14	0x03AEFD	0	0x0016DA	2039	255	True	628.94	ぃﾟー マケルナンテ##\n\nテﾞモ コレテﾞ ヨカッタノカモ\nシレナイワネ##\nアタシは みんなかﾞ あこかﾞれる\nアイトﾞルに なりたかったの##\nたﾞから テレヒﾞのてﾞんはﾟを つかって\nせんのう するように したの\nてﾞも それって ホントは たﾞれも\nアタシを おうえんしてないもの##\nみんな アタシの マネして こせい\nとか かんかﾞえなくなっちゃった##\nみんな おなしﾞなんて つまんない!\nたﾞから もう ほうそうは やめるわ\nアタシのすかﾞたを てﾞんはﾟに なかﾞして\nみんなを こんらんするのは やめる\nとりあえすﾞ いなかに かえって\nこれからのこと かんかﾞえるわ\n###そうたﾞ\n\nあたしの おきにいりの ロホﾞホﾟン\nあなたに あけﾞるわ\nやくに たつと いいけれとﾞ###	A8 29 DF B0 20 CF B9 D9 C5 DD C3 23 23 0A 0A C3 DE D3 20 BA DA C3 DE 20 D6 B6 AF C0 C9 B6 D3 0A BC DA C5 B2 DC C8 23 23 0A 29 B1 C0 BC 28 CA 20 D0 DD C5 B6 DE 20 B1 BA B6 DE DA D9 0A 29 B1 B2 C4 DE D9 28 C6 20 C5 D8 C0 B6 AF C0 C9 23 23 0A C0 DE B6 D7 20 29 C3 DA CB DE 28 C9 C3 DE DD CA DF A6 20 C2 B6 AF C3 0A BE DD C9 B3 20 BD D9 D6 B3 C6 20 BC C0 C9 0A C3 DE D3 20 BF DA AF C3 20 29 CE DD C4 28 CA 20 C0 DE DA D3 0A 29 B1 C0 BC 28 A6 20 B5 B3 B4 DD BC C3 C5 B2 D3 C9 23 23 0A D0 DD C5 20 29 B1 C0 BC 28 C9 20 29 CF C8 28 BC C3 20 BA BE B2 0A C4 B6 20 B6 DD B6 DE B4 C5 B8 C5 AF C1 AC AF C0 23 23 0A D0 DD C5 20 B5 C5 BC DE C5 DD C3 20 C2 CF DD C5 B2 21 0A C0 DE B6 D7 20 D3 B3 20 CE B3 BF B3 CA 20 D4 D2 D9 DC 0A 29 B1 C0 BC 28 C9 BD B6 DE C0 A6 20 C3 DE DD CA DF C6 20 C5 B6 DE BC C3 0A D0 DD C5 A6 20 BA DD D7 DD BD D9 C9 CA 20 D4 D2 D9 0A C4 D8 B1 B4 BD DE 20 B2 C5 B6 C6 20 B6 B4 AF C3 0A BA DA B6 D7 C9 BA C4 20 B6 DD B6 DE B4 D9 DC 0A 23 23 23 BF B3 C0 DE 0A 0A B1 C0 BC C9 20 B5 B7 C6 B2 D8 C9 20 29 DB CE DE CE DF DD 0A 28 B1 C5 C0 C6 20 B1 B9 DE D9 DC 0A D4 B8 C6 20 C0 C2 C4 20 B2 B2 B9 DA C4 DE 23 23 23 29 00
dialogue	47	0x1956	byte14	0x039956	0	0x0016DA	427	54	True	117.28	こふﾞん1\nさっきは カフﾟリてﾞ いい ハシﾞを\nかかせて くれたな!\nおほﾞえて いるか? ヒﾞスコさまの\nこふﾞん1と 2たﾞ! 	28 BA CC DE DD 31 0A BB AF B7 CA 20 29 B6 CC DF D8 28 C3 DE 20 B2 B2 20 29 CA BC DE 28 A6 0A B6 B6 BE C3 20 B8 DA C0 C5 21 0A B5 CE DE B4 C3 20 B2 D9 B6 3F 20 29 CB DE BD BA 28 BB CF C9 0A BA CC DE DD 31 C4 20 32 C0 DE 21 20 29 00
